"F15_FI_RAT"
0.054
0.042
0.045
0.043
0.109
0.079
0.035
0.036
0.019
0.054
0.039
0.05
0.099
0.052
0.087
0.096
0.04
0.136
0.141
0.067
0.058
0.052
0.099
0.123
0.074
0.057
0.046
0.164
0.033
0.053
0.057
0.088
0.047
0.094
0.072
0.059
0.066
0.095
0.108
0.103
0.051
0.06
0.075
0.092
0.098
0.063
0.028
0.152
0.048
0.034
0.053
0.175
0.14
0.066
0.076
0.062
0.06
0.184
0.028
0.098
0.025
0.088
0.092
0.043
0.039
0.131
0.099
0.032
0.046
0.033
0.059
0.083
0.103
0.148
0.076
0.022
0.058
0.046
0.043
0.045
0.089
0.111
0.147
0.1
0.139
0.043
0.019
0.176
0.138
0.075
0.094
0.054
0.119
0.136
0.074
0.072
0.202
0.155
0.09
0.14
0.075
0.213
0.234
0.03
0.174
0.077
0.229
0.029
0.193
0.127
0.097
0.073
0.031
0.148
0.007
0.213
0.089
0.084
0.027
0.097
0.119
0.239
0.054
0.069
0.058
0.017
0.096
0
0.082
0.059
0.144
0
0.225
0.21
0.124
0.009
0.112
0.043
0.115
0.151
0.093
0.116
0.003
0.041
0.127
0.15
0.153
0.05
0.124
0.01
0.069
0.016
0.037
0.069
0.035
0.035
0.116
0.172
0
0.059
0.121
0.224
0.183
0.033
0.098
0.156
0.032
0.203
0.062
0.173
0.132
0.108
0.094
0.11
0.097
0.051
0.027
0.016
0
0.045
0.114
0.082
0.077
0.022
0.028
0.036
0.024
0.1
0.038
0.031
0.035
0
0.19
0.065
0.112
0.166
0.119
0.191
0.095
0.064
0
0.045
0.144
0.193
0.073
0.024
0.022
0.003
0.045
0.11
0.077
0
0.101
0.028
0.039
0.137
0.001
0.068
0.154
0.051
0.153
0.047
0.105
0.114
0.081
0.122
0.099
0
0.134
0.173
0.19
0.061
0.035
0.198
0.076
0.145
0
0.227
0.062
0.169
0.111
0.125
0.082
0.154
0.129
0.007
0
0.022
0
0.114
0.071
0.199
0.185
0
0.028
0.202
0.088
0.051
0.036
0.16
0.155
0
0
0.083
0.066
0.058
0.073
0.22
0.052
0.026
0.18
0.112
0.082
0.102
0.049
0.117
0.118
0.089
0.095
0.118
0.131
0.097
0.108
0.2
0.042
0
0.107
0.209
0.084
0.078
0.177
0.046
0.142
0.072
0.134
0.128
0.044
0.101
0.135
0.155
0.053
0.149
0.102
0.13
0
0.122
0.058
0.129
0
0.121
0.011
0.107
0.09
0.132
0.046
0.145
0.071
0.132
0.005
0.215
0.104
0.09
0.021
0.099
0.156
0.096
0.008
0.069
0.116
0.122
0.133
0.077
0.152
0
0.061
0.134
0.24
0.083
0.221
0.104
0.135
0.21
0.129
0.153
0.033
0.026
0.034
0.088
0.055
0.238
0.128
0.151
0.13
0.1
0.053
0.168
0.187
0.22
0.119
0.159
0.098
0.016
0.097
0.295
0.064
0.005
0.103
0.094
0.236
0.111
0.159
0.155
0.139
0.016
0.002
0.129
0.211
0.131
0.203
0.02
0.088
0.058
0.202
0.182
0.117
0.039
0.17
0.19
0.279
0.015
0.043
0.11
0.148
0
0.022
0.07
0
0.206
0.101
0.022
0.048
0.121
0.087
0.044
0.092
0.159
0.051
0.097
0.095
0.23
0.131
0.267
0.107
0.209
0.007
0.026
0.248
0.084
0.061
0
0.032
0.093
0.024
0.134
0
0.174
0.205
0.023
0.035
0.234
0
0.181
0.107
0.141
0
0.249
0.123
0.214
0.195
0.228
0.128
0.119
0.094
0.081
0.097
0.18
0.063
0.287
0.008
0.142
0.068
0.003
0.031
0.002
0.047
0.038
0.005
0
0.034
0.037
0.138
0.226
0.029
0.253
0.081
0.112
0.036
0.034
0.036
0.064
0.032
0.176
0.021
0.36
0.269
0.04
0.207
0.314
0.322
0.226
0.139
0.057
0.103
0.127
0.191
0.075
0.05
0.056
0.053
0.013
0.167
0.187
0.074
0.019
0.019
0.037
0.121
0.043
0.116
0.286
0.081
0.043
0.222
0.126
0.085
0.154
0.377
0.278
0.248
0.17
0.227
0.297
0.079
0.082
0.301
0.091
0.269
0.262
0.094
0.137
0.283
0.014
0.047
0.049
0.166
0.045
0.225
0.301
0.243
0.172
0.222
0.049
0.048
0.03
0.134
0.281
0.074
0.17
0.042
0.056
0.053
0.143
0.01
0.204
0.136
0.206
0.086
0.02
0.021
0.229
0.397
0.065
0.038
0.09
0.062
0.249
0.057
0.109
0.134
0.191
0.074
0.021
0.04
0.078
0.121
0.166
0.049
0.104
0.048
0.038
0.244
0.245
0.009
0.025
0.162
0.447
0.286
0.232
0.17
0.306
0.075
0.059
0.297
0.033
0
0.109
0.035
0.122
0.1
0.04
0.053
0.082
0.234
0.096
0.34
0.105
0.096
0.087
0.078
0.053
0.121
0.139
0.237
0.013
0.064
0.299
0.105
0.21
0.255
0.04
0.126
0.117
0.305
0.075
0.056
0.076
0.04
0.093
0.095
0.122
0.11
0.072
0.062
0.103
0.142
0.073
0.272
0.328
0.164
0.01
0.123
0.057
0.125
0.081
0.079
0.201
0.235
0.039
0.1
0.02
0.031
0.114
0.034
0.394
0.276
0.139
0.123
0.035
0.19
0.028
0.125
0.008
0.254
0.156
0.27
0.335
0.081
0.065
0.071
0.11
0.088
0.152
0.061
0.059
0.35
0.013
0.142
0.142
0.244
0.074
0.062
0.183
0.254
0.111
0.105
0.181
0.109
0.257
0.404
0.158
0.156
0.199
0.08
0.106
0.011
0.088
0.044
0.3
0
0.276
0.133
0.17
0.122
0.059
0.03
0.362
0.007
0.021
0.112
0.106
0.347
0.06
0.107
0.014
0.104
0.241
0.077
0.226
0.301
0.039
0.05
0.046
0.134
0.052
0.275
0.292
0.036
0.026
0.048
0.343
0.132
0.055
0.275
0.247
0.345
0.117
0.093
0.016
0.058
0.23
0.227
0.059
0.361
0.12
0.088
0.11
0.128
0.334
0.064
0.31
0.128
0.254
0.203
0.014
0.028
0.033
0.226
0.137
0.407
0.15
0.133
0.059
0.032
0.121
0.047
0.182
0.069
0.08
0.347
0.363
0.061
0.119
0.056
0.1
0.408
0.185
0.046
0.117
0.192
0.08
0.03
0.125
0.033
0.127
0.285
0.029
0.092
0.385
0.243
0.07
0.08
0.043
0.287
0.006
0.069
0.134
0.452
0.173
0.056
0.055
0.066
0.13
0.188
0.031
0.052
0.098
0.05
0.116
0.047
0.267
0.014
0.238
0.046
0.471
0.271
0.061
0.007
0.153
0.033
0.19
0.155
0.184
0.175
0.024
0.166
0.158
0.071
0.023
0.006
0.297
0.078
0.168
0.034
0.079
0.135
0.279
0.081
0.094
0.121
0.033
0.058
0.087
0.031
0.106
0.129
0.054
0.155
0.104
0.001
0.083
0.138
0.146
0.05
0.092
0.213
0.073
0.153
0.026
0.06
0.217
0.047
0.08
0.202
0.031
0.037
0.133
0.117
0.049
0.107
0.183
0.09
0.119
0.066
0.042
0.096
0.124
0.105
0.154
0.095
0.064
0.037
0.068
0.034
0.044
0.06
0.029
0.048
0.109
0.066
0.029
0.024
0.065
0.026
0.1
0.029
0.109
0.057
0.193
0.144
0.017
0.041
0.026
0.01
0.066
0.114
0.118
0.022
0.152
0.053
0.063
0.093
0.137
0.08
0.062
0.034
0.088
0.166
0.04
0.039
0.109
0.129
0.067
0.077
0.175
0.046
0.025
0.133
0.146
0.025
0.157
0.066
0.052
0.044
0.138
0.045
0.042
0.059
0.122
0.076
0.014
0.092
0.168
0.11
0.031
0.139
0.076
0.042
0.061
0.06
0.032
0.136
0.077
0.116
0.054
0.165
0.031
0.033
0.134
0.097
0.047
0.045
0.149
0
0.092
0.084
0.018
0.083
0.072
0.159
0.036
0.123
0.072
0.047
0.078
0.051
0.07
0.009
0.112
0.075
0.069
0.057
0.031
0.18
0.021
0.03
0.128
0.015
0.053
0.109
0.041
0.142
0.031
0.134
0.119
0.085
0.187
0.02
0.124
0.044
0.081
0.042
0.086
0.099
0.026
0.056
0.088
0.101
0.112
0.1
0.021
0.117
0.066
0.07
0.059
0.058
0.058
0.056
0.069
0.045
0.086
0.122
0.167
0.109
0.049
0.172
0.131
0.076
0.061
0.085
0.074
0.138
0.082
0.115
0.055
0.064
0.107
0.104
0.026
0.138
0.061
0.075
0.109
0.059
0.035
0.16
0.097
0.23
0.098
0.179
